,Song Artist,Song Title,Part,Chords,Lyrics,Genre
362,Don McLean,AMERICAN PIE,chorus,G C G D G C G D G C G D Em A7 Em D7, Bye bye Miss American Pie Drove my Chevy to the levy but the levy was dry And them good old boys were drinkin whiskey and rye Singin this will be the day that I die this will be the day that I die  ,country
363,Don McLean,AMERICAN PIE,verse 4,G Am C Am Em D G D Em Am7 C Em A7 D C G A7 C D7 G D Em Am Cm G D Em C D7 G C G, Helter skelter in a summer swelter the birds flew off with a fallout shelter eight miles high and fallin fast It landed foul on the grass the players tried for a forward pass with the jester on the sidelines in a cast Em* D* Em* D* Now the half-time air was sweet perfume while sergeants played a marching tune We all got up to dance but we never got the chance Cuz the players tried to take the field the marching band refused to yield Do you recall what was revealed the day the music died we started singin  ,country
364,Don McLean,AMERICAN PIE,chorus,G C G D G C G D G C G D Em A7 Em D7, Bye bye Miss American Pie Drove my Chevy to the levy but the levy was dry And them good old boys were drinkin whiskey and rye Singin this will be the day that I die this will be the day that I die  ,country
365,Don McLean,AMERICAN PIE,verse 5,G Am C Am Em D G D Em Am7 C Em A7 D C G A7 C D7 G D Em Am C G D Em C D7 G C G, And there we were all in one place a generation lost in space with no time left to start again So come on Jack be nimble Jack be quick Jack Flash sat on a candle stick cuz fire is the devils only friend Em* D* Em* D* And as I watched him on the stage my hands were clenched in fists of rage No angel born in Hell could break that Satans spell And as the flames climbed high into the night to light the sacrificial rite I saw Satan laughing with delight the day the music died he was singin  ,country
366,Don McLean,AMERICAN PIE,chorus,G C G D G C G D G C G D Em A7 Em D7, Bye bye Miss American Pie Drove my Chevy to the levy but the levy was dry And them good old boys were drinkin whiskey and rye Singin this will be the day that I die this will be the day that I die  ,country
367,Don McLean,AMERICAN PIE,verse 6,G D Em Am C Em D G D Em Am C Em C D C G Am C D G D Em Am7 C D7 G D Em C D7 G N.C., I met a girl who sang the blues And I asked her for some happy news but she just smiled and turned away I went down to the sacred store Where Id heard the music years before but the man there said the music wouldnt play Em* Am* Em* Am* But in the streets the children screamed the lovers cried and the poets dreamed But not a word was spoken the church bells all were broken And the three men I admire most the Father Son and the Holy Ghost They caught the last train for the coast the day the music died And they were singin  ,country
368,Don McLean,AMERICAN PIE,chorus,G C G D G C G D G C G D Em A7 Em D7 G C G D G C G D G C G D C D7 G C G, Bye bye Miss American Pie Drove my Chevy to the levy but the levy was dry And them good old boys were drinkin whiskey and rye Singin this will be the day that I die this will be the day that I die They were singin bye bye Miss American Pie Drove my Chevy to the levy but the levy was dry And them good old boys were drinkin whiskey and rye Singin this will be the day that I die.,country
369,Post Malone,FEELING WHITNEY,intro,C Am Fmaj7 C,Oo oo oo oo oo oo oo Oo oo oo oo oo oo oo Oo oo oo oo oo oo oo Oo oo ,hiphop
370,Post Malone,FEELING WHITNEY,verse 1,C Am Fmaj7 C C Am F C C7,And Ive been looking for someone to put up with my bullshit I cant even leave my bedroom so I keep pouring And I aint seen the light of day since well thats not important Its been long  And I was feeling Whitney me and my homies sip like Houston Cars and clothes thought I was winning you knew I was losing You told me to wake up oh my clock always stays on snooze And Im done  ,hiphop
371,Post Malone,FEELING WHITNEY,chorus,Fmaj7 C Fmaj7 C G G7 N.C.,To each their own and found peace in knowing Aint always broken but heres to hoping Show no emotion against your coding And just act as hard as you can You dont need a friend Boy youre the man ,hiphop
372,Post Malone,FEELING WHITNEY,post-chorus,C Am Fmaj7 C,Oo oo oo oo oo oo oo Oo oo oo oo oo oo oo Oo oo oo oo oo oo oo Oo oo ,hiphop
373,Post Malone,FEELING WHITNEY,verse 2,C Am F C C Am F C C7,And Ive been looking for someone that I can buy my drugs from It seems like every plug ran east to Utah became Mormons Drought comes around feels like I have no one to depend on Sober ugh  I had 80 beers on Tuesday night I had nothing to do with it I put on a little Dwight and sang a happy tune And lit a cigarette stepped out the door had an appearance Drank more  ,hiphop
374,Post Malone,FEELING WHITNEY,chorus,Fmaj7 C Fmaj7 C G G7 N.C.,To each their own and found peace in knowing Aint always broken but heres to hoping Show no emotion against your coding Just act as hard as you can You dont need a friend Boy youre the man ,hiphop
375,Post Malone,FEELING WHITNEY,outro,C Am Fmaj7 C C,Oo oo oo oo oo oo oo Oo oo oo oo oo oo oo Oo oo oo oo oo oo oo Oo oo,hiphop
376,Post Malone,FEELING WHITNEY,intro,C Am F C,Oo oo oo oo oo oo oo Oo oo oo oo oo oo oo Oo oo oo oo oo oo oo ,hiphop
377,Post Malone,FEELING WHITNEY,verse 1,C Am F C C Am F C C7,And Ive been looking for someone to put up with my bullshit I cant even leave my bedroom so I keep pouring And I aint seen the light of day since well thats not important Its been long  And I was feeling Whitney me and my homies sip Houston Cars and clothes thought I was winning you knew I was losing You told me to wake up oh my clock always stays on snooze and Im done  ,hiphop
378,Post Malone,FEELING WHITNEY,chorus,F C F C G G7 N.C. C Am F C,To each their own and found peace in knowing Aint always broken but heres to hoping Show no emotion against your coding And just act as hard as you can You dont need a friend Boy youre the man  Oo oo oo oo oo oo oo Oo oo oo oo oo oo oo Oo oo oo oo oo oo oo ,hiphop
379,Post Malone,FEELING WHITNEY,verse 2,C Am F C C Am F C C7,And Ive been looking for someone that I can buy my drugs from It seems like every plug ran east to Utah became Mormons Drought comes around feels like I have no one to depend on Sober ugh  I had 80 beers on Tuesday night I had nothing to do with it I put on a little Dwight and sang a happy tune and lit a cigarette stepped out the door had an appearance Drank more  ,hiphop
380,Post Malone,FEELING WHITNEY,chorus,F C F C G G7 N.C. C Am F C C,To each their own and found peace in knowing Aint always broken but heres to hoping Show no emotion against your coding Just act as hard as you can You dont need a friend Boy youre the man  Oo oo oo oo oo oo oo Oo oo oo oo oo oo oo Oo oo oo oo oo oo oo  (Strummed),hiphop
381,Eminem,LOVE THE WAY YOU LIE,intro,Em C G Dadd11 Em C G Dadd11 (slide on D string), Just gonna stand there and watch me burn But thats alright because I like the way it hurts. Just gonna stand there and hear me cry But thats alright because I love the way you lie I love the way you lie  ,hiphop
382,Eminem,LOVE THE WAY YOU LIE,verse,Em C G Dadd11 Em C G Dadd11 Em C G Dadd11 Em C G Dadd11 (abrupt stop)," I cant tell you what it really is I can only tell you what it feels like And right now theres a steel knife in my windpipe I cant breathe but I still fight while I can fight As long as the wrong feels right its like Im in flight High off of love drunk from my hate its like Im huffin paint and I love it the more I suffer I suffocate And right before Im about to drown she resuscitates Me she fuckin hates me and I love it Wait! Where you going? Im leaving you. No you aint Come back. Were running right back here we go again its so insane   Cuz when its going good its going great  Im Superman with the wind at his back shes Lois Lane But when and its bad its awful I feel so ashamed I snap ""Whos that dude?"" I dont even know his name I laid hands on her Ill never stoop so low again I guess I dont know my own strength  ",hiphop
383,Eminem,LOVE THE WAY YOU LIE,chorus,Em C G Dadd11 Em C G Dadd11 Em C G Dadd11 (abrupt stop), Just gonna stand there and watch me burn But thats alright because I like the way it hurts. Just gonna stand there and hear me cry But thats alright because I love the way you lie I love the way you lie I love the way you lie  ,hiphop
384,Eminem,LOVE THE WAY YOU LIE,verse 2,Em C G Dadd11 Em C G Dadd11 Em C G Dadd11 Em C G Dadd11," You ever love somebody so much you can barely breathe when you with em? You meet and neither one of you even know it hit em Got that warm fuzzy feeling yeah them chills used to get em Now you gettin fuckin sick of lookin at em You swore youd never hit em never do nothin to hurt em Now youre in each others face spewing venom in your words when you spit em You push pull each others hair scratch claw bit em Throw em down pin em so lost in the moments when youre in em Its the face thats the culprit controls you both So they say youd best to go your separate ways Guess that they dont know ya cuz today that was yesterday Yesterday is over and its a different day Sound like broken records playing over but you promised her next time youd show restraint you dont get another chance Life is no nintendo game but you lied again   Now you get to watch her leave out the window  Guess thats why they call it ""window pane""  ",hiphop
385,Eminem,LOVE THE WAY YOU LIE,chorus,Em C G Dadd11 Em C G Dadd11 Em C G Dadd11 (abrupt stop), Just gonna stand there and watch me burn But thats alright because I like the way it hurts. Just gonna stand there and hear me cry But thats alright because I love the way you lie I love the way you lie I love the way you lie  ,hiphop
386,Eminem,LOVE THE WAY YOU LIE,verse 3,Em C G Dadd11 Em C G Dadd11 Em C G Dadd11 Em C G Dadd11 (abrupt stop), Now I know we said things did things that we didnt mean And we fall back into the same patterns same routine But your tempers just as bad as mine is; youre the same as me When it comes to love youre just as blinded Baby please come back it wasnt you. Baby it was me Maybe our relationship isnt as crazy as it seems Maybe thats what happens when a tornado meets a volcano All I know is I love you too much to walk away though Come inside pick up your bags off the sidewalk Dont you hear sincerity in my voice when I talk? Told you this is my fault look me in the eyeball Next time Im pissed Ill aim my fist at the drywall Next time? There wont be no next time I apologize even though I know its lies Im tired of the games I just want her back. I know Im a liar If she ever tries to fuckin leave again  Ima tie her to the bed and set this house on fire  Just gonna  ,hiphop
387,Eminem,LOVE THE WAY YOU LIE,chorus,Em C G Dadd11 Em C G Dadd11 Em C G Dadd11 (abrupt stop), Stand there and watch me burn But thats alright because I like the way it hurts. Just gonna stand there and hear me cry But thats alright because I love the way you lie I love the way you lie I love the way you lie    Sorry that this is so long I just wanted to give you the opportunity to sing/rap along as you play. As far as I know the lyrics are pretty close let me know if somethings wrong.  Hope you enjoyed it this is an awesome song.,hiphop
388,twenty one pilots,THE JUDGE,intro,Am F C Dm Am F C Am F C Dm Am F C,  Na Na Na Na Oh Oh Na Na Na Na Oh Oh Na Na Na Na Oh Oh  ,hiphop
389,twenty one pilots,THE JUDGE,verse 1,Am F C Dm Am F C Am F C Dm Am F C, When the leader of the bad guys sang Something soft and soaked in pain I heard the echo from his secret hideaway He mustve forgot to close his door As he cranked out those dismal chords And his four walls declared him insane  ,hiphop
390,twenty one pilots,THE JUDGE,pre-chorus,Em B Dm G, I found my way Right time wrong place As I plead my case  ,hiphop
391,twenty one pilots,THE JUDGE,chorus,F C G Am F C G Am F G C Am F Am F C Dm Am F C, Youre the judge Oh no Set me free Youre the judge Oh no Set me free I know my souls freezing Hells hot for good reason So please take me  Na Na Na Na Oh Oh Na Na Na Na Oh Oh Na Na Na Na Oh Oh  ,hiphop
392,twenty one pilots,THE JUDGE,verse 2,Am F C C Dm Am Am F C C Dm Am Am F C C Dm Am Am F C C C, Three lights are lit But the fourth ones out I can tell cause its a bit darker Than the last nights bout I forgot about the drought Of light bulbs in this house So I head out Down a route I think is heading south But Im not good with directions And I hide behind my mouth Im a pro at imperfections And Im best friends with my doubt And now that my minds out And now I hear it clear and loud Im thinking Wow I probably shouldve stayed inside my house.  ,hiphop
393,twenty one pilots,THE JUDGE,pre-chorus,Em B Dm G, I found my way Right time wrong place As I plead my case  ,hiphop
394,twenty one pilots,THE JUDGE,chorus,F C G Am F C G Am F G C Am F, Youre the judge Oh no Set me free Youre the judge Oh no Set me free I know my souls freezing Hells hot for good reason So please  ,hiphop
395,twenty one pilots,THE JUDGE,bridge,Am F C Dm Am F C Dm Am Am F C Dm Am F C Dm Am, I dont know if this song Is a surrender or a revel I dont know if this one Is about me or the devil  I dont know if this song Is a surrender or a revel I dont know if this one Is about me or the devil  ,hiphop
396,twenty one pilots,THE JUDGE,chorus,F C G Am F C G Am F G C Am F Am F C Dm Am F C, Youre the judge Oh no Set me free Youre the judge Oh no Set me free I know my souls freezing Hells hot for good reason So please  Na Na Na Na Oh Oh Na Na Na Na Oh Oh Na Na Na Na Oh Oh  ,hiphop
397,twenty one pilots,THE JUDGE,end chorus,F C G Am F C G Am F C G Am F C G Am, Youre the judge Oh no Set me free Youre the judge Oh no Set me free Youre the judge Oh no Set me free Youre the judge Oh no Set me free,hiphop
398,twenty one pilots,TRUCE,intro,G,,hiphop
399,twenty one pilots,TRUCE,verse,G B7 C G Em C G G B7 C G Em C G, Now the night is coming to an end (Ooo-ooo-ooh) The sun will rise and we will try again (Ooo-ooo-ooh)  ,hiphop
400,twenty one pilots,TRUCE,chorus,D C G D C G D Em D C Cm G, Stay alive stay alive for me You will die but now your life is free Take pride in what is sure - to - die  ,hiphop
401,twenty one pilots,TRUCE,verse,G B7 C G Em C G G B7 C G Em C G, I will fear the night again (Ooo-ooo-ooh) I hope Im not my only friend (Ooo-ooo-ooh)  ,hiphop
402,twenty one pilots,TRUCE,chorus,D C G D C G D Em D C Cm Em C G, Stay alive stay alive for me You will die but now your life is free Take pride in what is sure - to - die  ,hiphop
403,twenty one pilots,TRUCE,outro,Em C G,,hiphop
404,Fall Out Boy,CENTURIES,intro,Em Am Dsus2,,hiphop
405,Fall Out Boy,CENTURIES,chorus,Em G C Am D Em G C Am D Em G C Am D, Some legends are told Some turn to dust or to gold but you will remember me remember me for centuries if just one mistake is all it will take well go down in history remember me for centuries   remember me for centuries  ,hiphop
406,Fall Out Boy,CENTURIES,verse,Em G C Am D Em G C Am D Em Am Dsus2, mummified my teenage dreams no its nothing wrong with me the kids are all wrong the storys all off heavy metal broke my (heart) come on come on and let me in bruises on your thighs like my fingerprints this is supposed to match the darkness that you felt I never meant for you to fix yourself   ,hiphop
407,Fall Out Boy,CENTURIES,chorus,Em G C Am D Em G C Am D Em G C Am D, Some legends are told Some turn to dust or to gold but you will remember me remember me for centuries if just one mistake is all it will take well go down in history remember me for centuries   remember me for centuries  ,hiphop
408,Fall Out Boy,CENTURIES,verse,Em G C Am D Em G C Am D Em Am Dsus2, I cant stop until the whole world knows my name cause I was only born inside my dreams until you die for me as long as theres a light my shadows over you cause I-I am the opposite of amnesia and youre a cherry blossom youre about to bloom you look so pretty but youre gone so soon   ,hiphop
409,Fall Out Boy,CENTURIES,chorus,Em G C Am D Em G C Am D Em G C Am D, Some legends are told Some turn to dust or to gold but you will remember me remember me for centuries if just one mistake is all it will take well go down in history remember me for centuries   remember me for centuries  ,hiphop
410,Fall Out Boy,CENTURIES,bridge,Em G C Am D Em G C Am D, weve been here forever and heres the frozen proof I could scream forever we are the poisoned youth  ,hiphop
411,Fall Out Boy,CENTURIES,instrumental,Em Am Dsus2 x2,,hiphop
412,Fall Out Boy,CENTURIES,chorus,Em G C Am D Em G C Am D Em G C Am D, Some legends are told Some turn to dust or to gold but you will remember me remember me for centuries if just one mistake is all it will take well go down in history remember me for centuries   remember me for centuries,hiphop
413,Post Malone,GO FLEX,verse 1,Bb F C Dm Bb F C Dm Bb F C Dm,Lighting stog after stog choke on the smoke They tell me to quit dont listen to what Im told Help me forget that this world is so cold I dont even know what Im chasin no more Tell me what I want just keep searchin on Its never enough cup after cup blunt after blunt I wouldnt give one if I could find a fuck ha ha ha In the cut and I put that on my momma And my bitch called talkin bout some drama I swear there aint no time for women on the come up  Its either the pussy or the commas  ,hiphop
414,Post Malone,GO FLEX,hook,Am Bb F C Am Bb F C Am Bb F C Am Bb F C,Man I just wanna go flex Gold on my teeth and on my neck And Im stone cold with the flex With my squad and Im smokin up a check Man I just wanna go flex Gold on my teeth and on my neck And Im stone cold with the flex With my squad and Im smokin up a check  ,hiphop
415,Post Malone,GO FLEX,verse 2,Bb F C Dm Bb F C Dm,Push the gas get a motherfuckin nose bleed She aint never met a youngin do it like me She got a man but says she really like me  She doin things to excite me She sending all her friends snaps of my new tracks Cause all these hoes know whats about to come next I hit my plug up got the paper connect  I drop a couple bands I just wanna go...  ,hiphop
416,Post Malone,GO FLEX,hook,Am Bb F C Am Bb F C Am Bb F C Am Bb F C,Man I just wanna go flex Gold on my teeth and on my neck And Im stone cold with the flex With my squad and Im smokin up a check Man I just wanna go flex Gold on my teeth and on my neck And Im stone cold with the flex With my squad and Im smokin up a check  ,hiphop
417,Post Malone,GO FLEX,bridge x2!,Am Bb F C Am Bb F C,Knowing all of this Just dont make a difference Im just talking shit to the ones that will listen I come with the heat man I swear Im never missing And Im still the same and I swear Im never switching  ,hiphop
418,Post Malone,GO FLEX,hook x2!,Am Bb F C Am Bb F C Am Bb F C Am Bb F C,Man I just wanna go flex Gold on my teeth and on my neck And Im stone cold with the flex With my squad and Im smokin up a check Man I just wanna go flex Gold on my teeth and on my neck And Im stone cold with the flex With my squad and Im smokin up a check  ,hiphop
419,Post Malone,GO FLEX,outro,Am Bb F C Am Bb F C,Oooo Man I just wanna go flex Gold on my teeth and on my neck And Im stone cold with the flehex Stone cold with the flehex,hiphop
420,twenty one pilots,CAR RADIO,intro,F F G Am G  x2,,hiphop
421,twenty one pilots,CAR RADIO,verse 1,F F G Am G, I ponder of something great My lungs will fill and then deflate They fill with fire  Exhale desire I know its dire  My time today  ,hiphop
422,twenty one pilots,CAR RADIO,hook,F F G Am G F, I have these thoughts So often I ought  To replace that slot With what I once bought  Cause somebody stole My car radio And now I just sit in silence  ,hiphop
423,twenty one pilots,CAR RADIO,verse 2,F G Am G F F G Am G F F G Am G, Sometimes quiet is violent I find it hard to hide it My pride is no longer inside Its on my sleeve  My skin will scream Reminding me of Who I killed inside my dream I hate this car that Im driving Theres no hiding for me Im forced to deal with what I feel There is no distraction to mask what is real I could pull the steering wheel  ,hiphop
424,twenty one pilots,CAR RADIO,hook,F F G Am G F, I have these thoughts So often I ought  To replace that slot With what I once bought  Cause somebody stole My car radio And now I just sit in silence  ,hiphop
425,twenty one pilots,CAR RADIO,break,F F G Am G  x4,,hiphop
426,twenty one pilots,CAR RADIO,verse 3,F F G Am G F F G Am G F F G Am G F F G Am G F F G Am G F, I ponder of something terrifying Cause this time theres no sound to hide behind I find over the course of our human existence One thing consists of consistence And its that were all battling fear Oh dear I dont know if we know why were here Oh my too deep  Please stop thinking I liked it better when my car had sound  There are things we can do But from the things that work there are only two And from the two that we choose to do Peace will win  And fear will lose Theres faith and theres sleep We need to pick one please because Faith is to be awake And to be awake is for us to think And for us to think is to be alive And I will try with every rhyme To come across like I am dying To let you know you need to try to think  ,hiphop
427,twenty one pilots,CAR RADIO,hook,F G Am G F, I have these thoughts So often I ought  To replace that slot With what I once bought  Cause somebody stole My car radio And now I just sit in silence  ,hiphop
428,twenty one pilots,CAR RADIO,break,F F G Am G  x16,  (with woahs and now I just sit I silence etc)  ,hiphop
429,twenty one pilots,CAR RADIO,verse 4,F F G Am G, I ponder of something great My lungs will fill and then deflate They fill with fire  Exhale desire I know its dire  My time today  ,hiphop
430,twenty one pilots,CAR RADIO,hook,F F G Am G F, I have these thoughts So often I ought  To replace that slot With what I once bought  Cause somebody stole My car radio And now I just sit in silence,hiphop
431,twenty one pilots,TEAR IN MY HEART,intro,D - D - D - D F#m - F#m G - G,,hiphop
432,twenty one pilots,TEAR IN MY HEART,verse 1,D F#m G D F#m G A7,Sometimes you gotta bleed to know That youre alive and have a soul But it takes someone to come around to show you how  ,hiphop
433,twenty one pilots,TEAR IN MY HEART,chorus,G A Bm A D A D F#m G,Shes the tear in my heart Im alive Shes the tear in my heart Im on fire Shes the tear in my heart take me higher than Ive ever been  ,hiphop
434,twenty one pilots,TEAR IN MY HEART,verse 2,D F#m G D F#m G A7,The songs on the radio are okay But my taste in music is your face And it takes a song to come around to show you how  ,hiphop
435,twenty one pilots,TEAR IN MY HEART,chorus,G A Bm A D A G Bm A D A D,Shes the tear in my heart Im alive Shes the tear in my heart Im on fire Shes the tear in my heart take me higher than Ive ever been Than Ive ever been Than Ive ever been Than Ive ever been  ,hiphop
436,twenty one pilots,TEAR IN MY HEART,bridge,D D D D D D D D D D D D,You fell asleep in my car I drove the whole time But thats okay Ill just avoid the holes so you sleep fine Im driving here I sit cursing my government For not using my taxes To fill the holes with more cement You fell asleep in my car I drove the whole time But thats okay Ill just avoid the holes so you sleep fine Im driving here I sit cursing my government For not using my taxes To fill the holes with more cement  ,hiphop
437,twenty one pilots,TEAR IN MY HEART,verse 3,D F#m G D F#m G D F#m G,Sometimes you gotta bleed to know That youre alive and have a soul But it takes someone to come around to show you how  ,hiphop
438,twenty one pilots,TEAR IN MY HEART,chorus,G A Bm A D A N.C. G A Bm A D A G Bm A D A G G A Bm A D A G End on D,Shes the tear in my heart Im alive Shes the tear in my heart Im on fire Shes the tear in my heart take me higher than Ive ever been My heart is my armor Shes the tear in my heart shes a carver Shes a butcher with a smile cut me farther than Ive ever been Than Ive ever been Than Ive ever been Than Ive ever been My heart is my armor Shes the tear in my heart shes a carver Shes a butcher with a smile cut me farther than Ive ever been ,hiphop
439,Labrinth feat. Emeli Sandé,BENEATH YOUR BEAUTIFUL,intro,D Em G A x2,,hiphop
440,Labrinth feat. Emeli Sandé,BENEATH YOUR BEAUTIFUL,verse 1,D Em G A D Em G A D Em G A D Em G A, You tell all the boys no Makes you feel good yeah I know youre out of my league But that wont scare me away oh no  ,hiphop
441,Labrinth feat. Emeli Sandé,BENEATH YOUR BEAUTIFUL,pre-chorus,Bm D G A Bm D G A, Youve carried on so long You couldnt stop if you tried it Youve built your wall so high That no one could climb it But Im gonna try  ,hiphop
442,Labrinth feat. Emeli Sandé,BENEATH YOUR BEAUTIFUL,chorus,D Em G A D Em G A Bm D G A D Em G A D Em G A D Em G A, Would you let me see beneath your beautiful Would you let me see beneath your perfect Take it off now girl take it off now girl I wanna see inside Would you let me see beneath your beautiful tonight   ,hiphop
443,Labrinth feat. Emeli Sandé,BENEATH YOUR BEAUTIFUL,verse 2,D Em G A D Em G A D Em G A D Em G A, You let all the girls go Makes you feel good dont it? Behind your Broadway show I heard a boy say please dont hurt me  ,hiphop
444,Labrinth feat. Emeli Sandé,BENEATH YOUR BEAUTIFUL,pre-chorus,Bm D G A Bm D G A, Youve carried on so long You couldnt stop if you tried it Youve built your wall so high That no one could climb it But Im gonna try  ,hiphop
445,Labrinth feat. Emeli Sandé,BENEATH YOUR BEAUTIFUL,chorus,D Em G A D Em G A Bm D G A D Em G A D Em G A D Em G A D Em G A D Em G A, Would you let me see beneath your beautiful Would you let me see beneath your perfect Take it off now boy take it off now boy I wanna see inside Would you let me see beneath your beautiful tonight Oh oh oh oh ohhh oh oh oh oh ohhh tonight Oh oh oh oh ohhh see beneath see beneath Iiii Yiii Iiii Yiii  ,hiphop
446,Labrinth feat. Emeli Sandé,BENEATH YOUR BEAUTIFUL,bridge,A D Em D A A D Em D A G Bm Em Bm G A, Im gonna climb on top your ivory tower Ill hold your hand and then well jump right out Well be falling falling But thats okay Cause Ill be right here I just wanna love  ,hiphop
447,Labrinth feat. Emeli Sandé,BENEATH YOUR BEAUTIFUL,chorus,D Em G A D Em G A Bm D G A D Em G A D Em G A D Em G A D Em G A D Em G A D Em G A D Em G A, Would you let me see beneath your beautiful Would you let me see beneath your perfect Take it off now girl take it off now girl I wanna see inside Would you let me see beneath your beautiful tonight Ohoho oh ohhh ohoho oh ohhh oh tonight See beneath your beautiful oh tonight We aint perfect we aint perfect no Would you let me see beneath your beautiful tonight ,hiphop
448,Macklemore,CANT HOLD US,intro,Em D Dsus4 Bm C Em D Dsus4 Bm C,Yeah! lets go! haha alright alright okay uh alright okay alright okay ,hiphop
449,Macklemore,CANT HOLD US,verse,Em D Dsus4 Bm C Em D Dsus4 Bm C Em D Dsus4 Bm C Em D Dsus4 Bm C Em D Dsus4 Bm C N.C. Em D Dsus4 Bm C Em D Dsus4 Bm C Em D Dsus4 Bm C Em D Dsus4 Bm C N.C. N.C.,Return of the Mack get em What it is what it does what it is what it isnt. Looking for a better way to get up out of bed Instead of getting on the Internet and checking a new hit me Get up! Fresh out pimp strut walking little bit of humble little bit of cautious Somewhere between like rocky and Cosby sweatergang nope nope yall cant copy Yup. Bad moonwalking this here is our party my posses been on Broadway And we did it our way. Grown music I shed my skin and put my bones into everything I record to it And yet Im on. Let that stage light go and shine on down got that Bob Barker suit game and plinko in my style. Money stay on my craft and stick around for those pounds But I do that to pass the torch and put on for my town Trust me. On my I-N-D-E-P-E-N-D-E-N-T shit hustler Chasing dreams since I was 14 with the four track bussin halfway cross that city with the back (back) pack (pack) fat (fat) cat (cat) crushing Labels out here Nah they cant tell me nothin We give that to the people Spread it across the country Labels out here Nah they cant tell me nothin We give it to the people spread it across the country ,hiphop
450,Macklemore,CANT HOLD US,chorus,Em D Dsus4 Bm C Em D Dsus4 Bm C Em D Dsus4 Bm C Em D Dsus4 Bm C,Here we go back this is the moment Tonight is the night well fight till its over So we put our hands up like the ceiling cant hold us Like the ceiling cant hold us Here we go back this is the moment Tonight is the night well fight till its over So we put our hands up like the ceiling cant hold us Like the ceiling cant hold us ,hiphop
451,Macklemore,CANT HOLD US,verse,N.C. N.C. N.C. N.C. N.C. Em G D Em Em G D Em Em G G Em Em G D N.C.,Nah can I kick it? thank you. Yeah Im so damn grateful. I grew up really wanted gold fronts But thats what you get when Wu-tang raised you Yall cant stop me go hard like I got an 808 in my heart beat And Im eating at the beat like you gave a little speed to a great white shark on shark week Raw. Tell me go up. Gone! Deuces goodbye. I got a world to see and my girl she wanna see Rome Caesar make you a believer. nah I never ever did it for a throne. That validation comes from giving it back to the people. nah sing a song and it goes like Raise those hands this is our party We came here to live life like nobody was watching I got my city right behind me. If I fall they got me. Learn from that failure gain humility and then we keep marchin ourselves ,hiphop
452,Macklemore,CANT HOLD US,chorus,Em D Dsus4 Bm C Em D Dsus4 Bm C Em D Dsus4 Bm C Em D Dsus4 Bm N.C.,Here we go back this is the moment Tonight is the night well fight till its over So we put our hands up like the ceiling cant hold us Like the ceiling cant hold us Here we go back this is the moment Tonight is the night well fight till its over So we put our hands up like the ceiling cant hold us Like the ceiling cant hold us ,hiphop
453,Macklemore,CANT HOLD US,instrumental,Em G D Em Em G D Em Em G D Em Em G D Em N.C.,(so we put our hands up) (so we put our hands up) wah-oh-oh wah-oh-oh wah-oh-oh (lets go!) Na na na-na na na-na na (uh-huh) heyyyyyyyyyyy And all my people say Na na na-na na na-na na heyyyyyyyyyyy And all my people say  Ohhhhhhhhhhhh And all my people say Na na na na na na na na Ma-ckle-more ,hiphop
454,Macklemore,CANT HOLD US,chorus,Em D Dsus4 Bm C Em D Dsus4 Bm C Em D Dsus4 Bm C Em D Dsus4 Bm N.C.,Here we go back this is the moment Tonight is the night well fight till its over So we put our hands up like the ceiling cant hold us Like the ceiling cant hold us Here we go back this is the moment Tonight is the night well fight till its over So we put our hands up like the ceiling cant hold us Like the ceiling cant hold us,hiphop
455,Eminem feat. Ed Sheeran,RIVER,intro chorus,Em G C D Em G C D Em G C D Em G C D,Ive been a liar been a thief been a lover been a cheat All my sins need holy water feel it washin over me Well little one I dont want to admit to something If all its gonna cause is pain truth in my lies right now are falling like the rain So let the river run  ,hiphop
456,Eminem feat. Ed Sheeran,RIVER,verse 1,Em G C D Em G C A5 D Em G C D Em G C A5 D Em G C D Em G C A5 D Em G C D Em G C,"Hes comin home with his neck scratched to catch flack Sweat jackets and dress slacks mismatched On his breaths Jack hes a sex addict and she just wants to Exact revenge and get back  Its a chess match shes on his back like a jet-pack Shes kept track of all his Internet chats and guess who just Happens to be movin on to the next actually Just shit on my last chick and she has what my ex lacks  Cause she loves danger psychopath And you dont fuck with no mans girl even I know that But shes devised some plan to stab him in the back Knife in hand says the relationships hangin by a strand  So shes been on the web lately Says maybe shell be my Gwen Stacy to spite her man And I know shes using me to try to play him I dont care ""hi Suzanne"" but I shoulda said ""bye Suzanne""  After the first night but tonight I am  ",hiphop
457,Eminem feat. Ed Sheeran,RIVER,chorus 1,Em G C D Em G C A5 Em G C D Em G C A5,Ive been a liar been a thief been a lover been a cheat All my sins need holy water feel it washin over me Well little one I dont want to admit to something If all its gonna cause is pain truth in my lies now are falling like the rain So let the river run  ,hiphop
